Place,primary_city
Diu Museum,Diu
Divar Island,Panjim
Dive Ghat Valley,Pune
Dive Goa,Murdeshwar
Diveagar Beach,Diveagar
Divisional Sports Complex,Nagpur
Divya Saketam,Hyderabad
Divya Shila,Yamunotri
Divyaramam Park,Tirupati
Diwan E Aam,Agra
Diwan-I-Aam,Fatehpur Sikri
Diwan-I-Khas,Fatehpur Sikri
Diwan-e-Aam Hall of Public Audience,Jaipur
Diwan-e-Am,Jaipur
Diwan-e-Khas Hall of Private Audience,Jaipur
Diwan-e-Pir,Pakur
Diwan-i-Am,New Delhi
Diwan-i-Am Agra Fort,Agra
Diwan-i-Khas,New Delhi
Diwan-i-Khas Audience Hall,Shimla
Dixit Wada Museum,Shirdi
Diyanamyam Mutt,Ooty
Dlf Courtyard Mall,New Delhi
Dnyaneshwar Muktabai Temple,Alandi
Dnyanjyoti Savitribai Phule Udyan,Pimpri-Chinchwad
Do Drul Chorten Stupa,Gangtok
Dodda Gadiyaara,Mysuru (Mysore)
Dodda Ganapathi Temple,Bengaluru
Dodda Ghosai Ghat,Srirangapatna
Dodda Sampige Mara,Bandipur
Doddabale Siddaragudda Peak(Shivgiri Trails),Chikmagalur
Doddabetta Peak,Ooty
Doddahotrangappa Hill,Chitradurga
Doddamakkali Nature Camp Park,Mandya
Doddanekundi Lake,Bengaluru
Dodi Taal,Uttarkashi
Dodi Tal Lake,Uttarkashi
Dogra Art Museum,Jammu City
Dolanji Bon Monastery,Barog
Doling Gompa,Ravangla
Doll Mall,Chennai
Dolls Museum,Jaipur
Dolmen Circle,Kodaikanal
Dolmen Circles,Somvarpet
Dolmenoid Cists,Idukki
Dolo Mando,Ziro
Dolphin Aquarium,Mumbai
Dolphin The Water World,Agra
Dolphin's Nose,Coonoor
Domboor Lake,Agartala
Dominican Monastery,Daman
Domlur Oneness Centre,Bengaluru
Don Bosco Centre for Indigenous Cultures,Shillong
Don Bosco Shrine,Sohra
Dona Paula Beach and Viewpoint,Dona Paula
Donbosco Church,Mirik
Dondole Falls,Belthangady
Donkey Sanctuary,Leh
Dooars,Jalpaiguri
Dooars Tours and Travels Planner,Jalpaiguri
Doodh Baori,Mount Abu
Doodhadhari Barfani Temple,Haridwar
Doodhpathri,Srinagar
Dor Fortress,Aligarh
Dorje Drak Monastery,Shimla
Dorzong Monastic Institute,Palampur
Double Barrel,Mysuru (Mysore)
Double Decker Living Root Bridge,Sohra
Doveton House,Chennai
Dow Hill,Darjeeling
Doyang Hydro Project,Wokha
Doyang River,Wokha
Dr Babasaheb Ambedkar Hall,Chiplun
Dr Graham’s Home,Kalimpong
Dr MGR Memorial House,Chennai
Dr Rajendra Prasad Ghat,Varanasi
Dr Salim Ali Bird Sanctuary,Pune
Dr TMA Pai International Convention Centre,Mangalore
Dr. A. P. J. Abdul Kalam Memorial,New Delhi
Dr. Alvaro Loyola Furtado Mansion,Sancoale
Dr. Ambedkar Park,Lucknow
Dr. Antiques & Old Coins,Chennai
Dr. B. R. Ambedkar University,Agra
Dr. Babasaheb Ambedkar Open University,Ahmedabad
Dr. Bhupen Hazarika Samadhi Khetra Memorial,Guwahati
Dr. D. Ering Memorial Wildlife Sanctuary,Pasighat
Dr. Diwan Singh Kalepani Museum,Mohali
Dr. Ram Manohar Lohia Park,Lucknow
Dr. Ramnath A. Podar Haveli Museum,Nawalgarh
Dr. S P Mukherjee Swimming Pool,New Delhi
Dr. Salim Ali Bird Sanctuary,Panjim
Dr. TMA Pai Planetarium,Manipal
Dr.Arun's Photography And Vintage Camera Museum,Chennai
Draavidia Gallery,Kochi (Cochin)
Dragon Palace Buddhist Temple,Nagpur
Draksharama Temple,Draksharama
Dramapur Adventures,Colva
Drang,Gulmarg
Drang-Drung Glacier,Kargil
Dras War Memorial,Kargil
Dream World Amusement Park,Lucknow
Dream World Water Park,Chalakudy
Dreamland Adventure,Anachal
Dreamland Amusement Park,Siliguri
Dreamland Garden,Kudal
Dreamrun Adventure,Khopoli
Dreams  tour,Tajganj
Dreams The Mall,Mumbai
Dreamworld Water Park,Thrissur
Drishti Yoga School,Rishikesh
Drizzling Land,Ghaziabad
Droog Fort,Coonoor
Druk Padma Karpo School,Shey
Du-Khang,Leh
Dubdi Monastery,Yuksom
Dubey Palace,Haldia
Dublar Char Island,Sundarbans National Park
Duchess Falls,Pachmarhi
Duddhtalaii and Musical Garden,Udaipur
Dudh Dhara Falls,Amarkantak
Dudhadari Temple,Raipur
Dudhaleshwar Mahadev Temple,Todgarh
Dudhawa Dam,Dhamtari
Dudhni Lake,Silvassa
Dudhpukur Tank,Hooghly
Dudhsagar Falls,Mollem National Park
Dudhsagar Plantation and Farmstay,Sanvordem
Dudhwa Jungle Lore,Farsaheya
Dudhwa National Park,Dudhwa National Park
Dudia,Darjeeling
Duduma Falls,Jeypore
Dufferin Clock Tower,Mysuru (Mysore)
Dugarwadi Waterfall,Nashik
Duggan Valley,Kathua
Dukh Bhanjani Ber Tree,Amritsar
Dulhadev Temple,Khajuraho
Dumas Beach,Surat
Dumboor Lake,Agartala
Dumna Nature Reserve,Jabalpur
Dundlod Fort,Jhunjhunu
Dungeshwari Cave Temples,Gaya
Dungeshwari Hills,Gaya
Dungeswari Hills,Bodh Gaya
Durbar Hall Art Gallery,Kochi (Cochin)
Durga Devi Temple,Lansdowne
Durga Devi Zone,Jim Corbett National Park
Durga Dhara Fall,Amarkantak
Durga Mandir Temple,Ramnagar
Durga Mata Mandir,Jaipur
Durga Nag Temple,Srinagar
Durga Narayani Temple,Ganjam
Durga Statue,Bankura
Durga Temple,Karwar
Durgadevi Temple,Murud
Durgadi Fort,Kalyan
Durgam Cheruvu Lake,Hyderabad
Durgambika Temple,Chittoor
Durgamma Temple,Srikalahasti
Durgapur Barrage,Durgapur
Durgapur Steel Plant,Durgapur
Durgiana Temple,Amritsar
Durpin Dara Hill,Kalimpong
Durtlang Hills,Aizawl
Duryodhana Temple,Uttarkashi
Dushmeshwar Mahadeo Temple,Sawai Madhopur
Dussehra Chowk,Jaisalmer
DustyRoad,Panvel
Dutch Cemetery,Kochi (Cochin)
Dutch Church,Pulicat
Dutch Factory,Vengurla
Dutch Fort,Kanchipuram
Dutch Gardens,Surat
Duwan Sing Syiem View Point,Sohra
Dwadash Dwari Fort,Midnapore
Dwadasha Jyotirlinga,Bengaluru
Dwarahat Village,Almora
Dwaraka Tirumala Temple,Dwaraka Tirumala
Dwarka Baoli (Loharehri Baoli ),New Delhi
Dwarka City Centre,New Delhi
Dwarka Lighthouse,Dwarka
Dwarkadessh Mandir,Itarsi
Dwarkadheesh Temple,Nathdwara
Dwarkadhish Temple,Dwarka
Dwarkamai Masjid,Shirdi
Dwarksuid,Shillong
Dyaanin,Bidadi
Dynamix Mall,Mumbai
Dzogchen Monastery,Chamarajanagar
Dzongri Goechala,Yuksom
Dzuleke,Kohima
E-Mall,Kolkata
E3 Theme Parks,Vellamunda
EAE St.Marys  Soonoro Church Meenangadi,Meenangadi
EME Temple,Vadodara
EMS Stadium,Kozhikode
ETA Namma Mall,Bengaluru
Eachanari Vinayagar Temple,Coimbatore
Eagle Eye Adventure,Bhimtal
Eagle Nest Wildlife Sanctuary,Tawang
Eagle's Crag,Kurseong
EarnMyTravel,Katra
Earth Art Gallery,Hyderabad
Easel Art Gallery,Chennai
East Bengal Ground,Kolkata
East Delhi Mall,Ghaziabad
East End Mall,Lucknow
East Fort,Trivandrum
East Indian Museum,Mumbai
Eastern Gateway,Sanchi
Eastern Mall,Mumbai
Ebenezer Marthoma Church,Trivandrum
Ecchapurti Ganesh Temple,Jalgaon
Echo Point,Mandu
Eco Beach,Honnavar
Eco Cave Gardens,Nainital
Eco Park,Dhanaulti
Eco Park (Rajdhani Vatika),Patna
Eco Reach,Konni
Eco Tourism Park,Kolkata
Eco Urban Village,Kolkata
Ecological Park,Meerut
Edaganatheswarar Temple,Madurai
Edakkal Caves,Kalpetta
Edappally Church Complex,Ernakulam
Edathua Church,Alappuzha
Eden Gardens,Kolkata
Eglise de Notre Dame des Anges,Pondicherry
Egmore Wesley Church,Chennai
Ek Hathiya Ka Naula,Champawat
Ek Minar ki Masjid,Raichur
Ekadash Rudra Temple,Uttarkashi
Ekalavya kalari,Erimayur-II
Ekalokam Trust for Photography,Tiruvannamalai
Ekambareswarar Temple,Kanchipuram
Ekamra Kanan,Bhubaneswar
Ekant Park,Bhopal
Ekashila Waterfall & Children Garden,Warangal
Eklakhi Mausoleum,Malda
Ekling Ji Temple,Udaipur
Ekvira Devi Temple,Lonavala
Elante mall,Chandigarh
Elaveezhapoonchira,Kottayam
Ele Experience Farm,Jaipur
Ele Jaipur,Jaipur
EleJaipur,Jaipur
EleSafari,Amer
Election museum,New Delhi
Elefanjoy Elephant Sanctuary,Amer
Elefantastic,Amer
Elefriend,Amer
Elefun,Amer
Elefuncity,Jaipur
Elefunenjoy,Jaipur
Elejungle,Amer
Elemaison,Jaipur
Elembalai Hill,Malappuram
Elements Mall,Bengaluru
Elephant Activity Planner,Jaipur
Elephant Beach,Havelock Island
Elephant Camp Sanctuary,Guruvayur
Elephant Conservation & Care Center,Mathura
Elephant Falls,Shillong
Elephant Joy,Jaipur
Elephant Junction,Thekkady
Elephant Rehabilitation Centre,Trivandrum
Elephant Stables,Hampi
Elephant View Point,Anakulam
Elephant Village,Jaipur
Elephant life,Jaipur
Elephant's Head Point,Mahabaleshwar
Elephanta Caves,Mumbai
Elephantwala,Jaipur
Elephent Fall Charladka,Kasaragod
Elgandal Fort,Karimnagar
Elk Falls,Kotagiri
Elk Hill Murugan Temple,Ooty
EllaiPedari Amman Temple,Salem
Elles World,Hyderabad
Elliot Park,Kolkata
Elliot's Beach,Chennai
Ellis Bridge,Ahmedabad
Ellora Caves,Aurangabad
Elphinstone Point,Mahabaleshwar
Elvis Butterfly Garden,Thane
Elysee Palace/MGN School,Kapurthala
Emami Jagannath Temple,Balasore
Emerald Experiences,Umaria
Emerald Lake,Ooty
Emmanual Methodist Church,Chennai
Empire Mall,Mangalore
Empress City Mall,Nagpur
Empress Gardens,Pune
Enchanting Acres,Bengaluru
Enchey Monastery,Gangtok
End Point,Manipal
Endless Tour and Travels,Pahalgam
Energy Education Park,Kolkata
Energy Park,Patna
English Cemetery,Surat
English Church,Thalassery
Ennan Mata Temple & Waterfall,Duhka
Erangal Beach,Mumbai
Erattakulangara Sri Mahadeva Temple,Ernakulam
Erattayar North Dam,Idukki
Eri Katha Ramar Temple,Madurantakam
Ermai falls,Ujire
Ernakulam - Fort Cochin Ferry,Kochi (Cochin)
Ernakulam Cemetery Church,Ernakulam
Eros Metro Mall,New Delhi
Erunbeeswarer Temple,Tiruchirappalli
Eruva Sreekrishna Swamy Temple,Alappuzha
Escapade Adventures and Holidays Pvt. Ltd - Day Tour,Noida
Esplanade One Mall,Bhubaneswar
Essel World,Mumbai
Esteem Mall,Bengaluru
Eternity Mall,Thane
Ethipothala Falls,Nagarjuna Sagar
Ethnic Creations,Kochi (Cochin)
Ethnic Tanjore Arts,Chennai
Ethnic Voyages,Vaikom
Ethnographic Museum,Kolkata
Eton Temple Convent School,Hyderabad
Ettaiyapuram Palace,Tuticorin
Ettikulam Beach,Kannur
Ettina Bhuja Peak (Shishila Gudda),Mudigere
Ettukai Amman Temple,Namakkal
Ettukudi Murugan Temple,Nagapattinam
Ettumanoor Mahadeva Temple,Kumarakom
Eturnagaram Wildlife Sanctuary,Warangal
Euroamer Garuda Mall,Bengaluru
Europark Mall,Ghaziabad
Eva Mall,Vadodara
Evangeleal Church of India,Chennai
Ever Living Museum,Shillong
Everest Museum,Darjeeling
Evergreen Spicegarden,Kumily
Ewing Christian College,Allahabad
Experimenter,Kolkata
Explore Corbett - Go Wild Adventure Park,Teda
Explore Spiti,Rekong Peo
Explore Wayanad,Meppadi
Express Avenue Mall,Chennai
Extra E-Mall,Thrissur
Extreme Karts & Adventures,Kodagurki
Eylex Cinemas,Asansol
Ezhara Beach,Kannur
Ezharakund Waterfalls,Pottenplave
Ezhilam Tourism,Ezhome
Ezhimala Beach,Kannur
Ezhimala Hanuman Statue,Kannur
Ezhimala View Point,Kannur
Ezhuthari Nathar Temple,Thanjavur
FSM Hyper,Tiruchirappalli
Fabmall,Bengaluru
Faculty of Management Studies,New Delhi
Fagu Ski Resort,Fagu
Fairy Cottage & Picnic Spot,Faridkot
Fairy Falls,Kodaikanal
Fairy World,Meerut
Faith,Velankanni
Faith Community Church,Parra
Faith In Jesus Assembly,Chennai
Faizabad Museum,Faizabad
Faizabad Sports Complex,Faizabad
Falgu River,Gaya
Falkland Point,Mahabaleshwar
Falna Railway Station,Falna
Fambong Lho Wildlife Sanctuary,Gangtok
Fame Shankarnag Theatre,Bengaluru
Family Kingdom,Faridabad
Fanaswadi Temple,Mumbai
Fanattic Sports Museum,Kolkata
Fancy Bazar,Guwahati
Fantasy Park,Palakkad
Fantasy World,Meerut
Farangi Mahal Islamic Centre of India,Lucknow
Faridkot Fort,Faridkot
FarmGuru,Chennai
Farmers Son Resort & Adventurous Sports,Belluru
Farmers' Market of Jaipur,Jaipur
Farrakka Barrage,Farakka
Fashion Express,Chennai
Fateh Burj,Mohali
Fateh Jung ka Gumbaj Tomb,Alwar
Fateh Prakash Palace,Udaipur
Fateh Praksah Palace Museum,Chittaurgarh
Fateh Sagar Lake,Udaipur
Fatehgunj  Flyover,Vadodara
Fatehpur Sikri,Fatehpur Sikri
Fatehpuri Mosque,New Delhi
Fatrade Beach,Carmona
Fatshar Ganpati Mandir Temple,Surendranagar
Femina Shopping Mall,Tiruchirappalli
Ferar Beach,South Andaman Island
Fernandes Bridge,Ahmedabad
Fernandes House,Chandor
Feroz Shah Kotla Fort,New Delhi
Feroz Shah Kotla Stadium,New Delhi
Ferozepur Nallah,Gulmarg
Ferry to Alibaug,Mumbai
Fever Pitch Basecamp Outbound,Magadi
Fever Pitch Holidays,Bengaluru
Film and Television Institute of India,Pune
Fine Art School (Painting House),Udaipur
Fine Arts Cultural Centre,Mumbai
Firdaus Enterprises,Mumbai
Fire Brigade Museum,Pune
Firoz Minar Tomb,Malda
Firoz Shah Tughlaq Tomb,New Delhi
First Break Snooker & Pool,Navsari
First Dastoor Meherjrana Library,Navsari
First Presbyterian Church,Sohra
Fish Park,Gurdaspur
Fish World Aqua Tourism Village,Vaikom
Fisherfolk Temple,Thalassery
Fit Rock Arena,Chennai
Five Falls Courtallam,Courtallam
Five Gardens,Mumbai
Five-Faced Hanuman Temple,Ramanathapuram
Flagstaff Tower,New Delhi
Floating Market Patuli,Kolkata
Floating Vegetable Market,Srinagar
Flora Fountain,Mumbai
Flower Exhibition Centre,Gangtok
Fluidsymmetry,Agonda
Fly Bir Billing,Joginder Nagar
Fly Star Adventure,Sohna
Flyboard India,Chopdem
Flying Bird Cab Services,Kumbhalgarh
Flying Carpet Handicrafts,Jaisalmer
Flying Folks,Sonipat
Flying Fox Neemrana,Alwar
Flying Fox Rishikesh,Shivpuri
Fmg Mall,Hyderabad
Focus Art Gallery,Chennai
Focus Mall,Kozhikode
Folk Art Museum,Patna
Folk Arts Site Museum Courtallam,Courtallam
Folkland Park,Aizawl
Folklore Cultural Theatre,Kochi (Cochin)
Folklore Museum,Mysuru (Mysore)
Fontainhas,Panjim
Foot--Loose Excursions,New Delhi
Footi Mosque,Murshidabad
Foreshore Road,Srinagar
Forest Department’s Natural History Museum,Trivandrum
Forest Log Hut,Saputara
Forest Museum,South Andaman Island
Forest Nursery,Saputara
Forest Park,Mumbai
Forest Park & Medicinal Plant Garden,Toranmal
Forest Research Institute,Dehradun
Forest Research Institute Museum,Dehradun
Former President A.P.J. Abdul Kalam House,Rameswaram
Fort Aguada,Sinquerim
Fort Aguada Lighthouse,Bardez
Fort Asherigad,Thane
Fort Bacchretu,Bilaspur
Fort Bahadurpur,Bilaspur
Fort Calcutta,Faizabad
Fort Jaitak,Nahan
Fort Kochi Beach,Kochi (Cochin)
Fort Kotkahlur,Bilaspur
Fort Madhogarh,Bassi
Fort Museum,Chennai
Fort Of The Hooded Cobra,Nagaur
Fort Rajwada,Sri Ganganagar
Fort Sariun,Bilaspur
Fort St. Angelos,Kannur
Fort St. George,Chennai
Fort Terekhol,Panjim
Fort Tiun,Bilaspur
Fort William,Kolkata
Fort of Kot Kasta,Jalore
Fortim-do-Mar,Diu
Forum Celebration Mall,Udaipur
Forum Centre City Mall,Mysuru (Mysore)
Forum Courtyard,Kolkata
Forum Neighbourhood Mall,Bengaluru
Forum Rangoli Mall,Belur
Forum Shantiniketan Mall,Bengaluru
Fotu La Pass,Srinagar
Four Fountains De-Stress Spa - Vasai (East),Vasai
Four Seasons Winery,Pune
Fourteen Goddess Temple,Agartala
Foy Sagar Lake,Ajmer
Franks Water Sports,Betalbatim
Fratelli Wines,Akluj
Frazerganj Beach,Haroa
French Cultural Centre,New Delhi
French Institute,Pondicherry
French War Memorial,Pondicherry
Fresco Painted Havelies,Churu
Friday Mosque (Jama Masjid),New Delhi
Friendship Peak,Manali
Frog Temple,Lakhimpur
Froggyland,Nuvem
Fruit Orchards,Parwanoo
Fruit Research Center,Vengurla
Full Gospel Church,Chennai
Full Gospel Telugu Baptist Church,Chennai
Fullara Devi Shaktipeeth,Labpur
Fun 'n' Food Village,New Delhi
Fun City,Bareilly
Fun City Mall,Coimbatore
Fun Factory,Panchkula
Fun Fantasy,Padinjarathara
Fun Forest Adventure Park,Munnar
Fun Funta Fun,Surat
Fun Gaon,Allahabad
Fun N Food,Gurugram (Gurgaon)
Fun N Food Kingdom,Prem Nagar
Fun N Food Village,Nagpur
Fun Park,Adilabad
Fun Republic Mall,Lucknow
Fun Ulagam,Tambaram
Fun World,Gandhinagar
Funarc adventures,Magadi
Funcity,Ramgarh
Fundera Park,Yelagiri
Funky Monkeys Play Center - Andheri,Mumbai
Funky Monkeys Play Center Pune,Pune
Funky Monkeys Play Centers (1MG Road Mall),Bengaluru
Funtasia Island,Patna
Funworld Rajkot,Rajkot
Futala Lake,Nagpur
Futnani Chambers,Kolkata
G & Aswari Shankha Bhander,Kolkata
G Mall,Kannur
G. M. C. Balayogi Athletic Stadium,Hyderabad
G.D. Naidu Industrial Exhibition,Coimbatore
GDrishti Art Gallery,Bengaluru
GIQ Jewellery carpets and other handicrafts plus clothes,Baga
GRS Fantasy Park,Mysuru (Mysore)
GT Central,Jaipur
GT World Mall,Bengaluru
GVK One Mall,Hyderabad
Gaay Ghat,Varanasi
Gabbar Hill,Ambaji
Gada Shah Palace,Mandu
Gadadhar Ji Temple,Jammu City
Gadarmal Temple,Vidisha
Gadda Gusaini Valley,Mandi
Gaddi Buddies,Vallabh Vidyanagar
Gadeshwar Dam,Panvel
Gadeshwara Dam,Raigarh
Gadhan Thekchhokling Gompa Monastery,Manali
Gadiya Mountain,Kanker
Gadkalika Temple,Ujjain
Gadkhange Mata Temple,Ratlam
Gadsar Lake,Sonamarg
Gadsisar Sagar Lake,Jaisalmer
Gagan Collection,Haldwani
Gagan Mahal,Vijayapura
Gagangad,Kolhapur
Gagangiri Ashram,Khopoli
Gagangiri Maharaj Math Temple,Kolhapur
Gagron Fort,Jhalawar
Gahirmatha Beach,Paradeep
Gahirmatha Turtle Sanctuary,Bhitarkanika National Park
Gaib Sagar Lake,Dungarpur
Gaiety Heritage Cultural Complex,Shimla
Gaipernath Waterfall,Kota
Gajanan Maharaj Temple,Shegaon
Gajanand Temple,Pali
Gajanur Dam,Shimoga
Gajbadevi Temple,Kunkeshwar
Gajner Lake,Gajner
Gajner Temple,Bikaner
Gajner Wildlife Sanctuary,Gajner
Gajpantha Jain Siddha Kshetra Temple - Digambar & Chamar Leni,Nashik
Galaganatha Temple,Bijapur
Galageshwara Temple,Haveri
Galathea National Park,Great Nicobar Island
Galaxy Mall,Asansol
Galerie De'Arts,Bengaluru
Galerie Sara Arakkal,Bengaluru
Galganatha Temple,Pattadakal
Galgibaga Beach,Agonda
Gali Paranthe Wali,New Delhi
Galikere Lake,Chikmagalur
Galikonda View Point,Araku Valley
Galjibag Beach,Dabolim
Galjibaga Beach,Canacona
Galleria Market,Gurugram (Gurgaon)
Galleria of Gem's,Cavelossim
Gallerie Ganesha,New Delhi
Gallerie Zen,Bengaluru
Gallery 78,Hyderabad
Gallery Ark,Vadodara
Gallery Artchill,Jaipur
Gallery Espace,New Delhi
Gallery Gitanjali,Panjim
Gallery Kolkata,Kolkata
Gallery OED Cochin.,Kochi (Cochin)
Gallery One,Udaipur
Gallery Prospective,Gurugram (Gurgaon)
Gallery Sanskriti,Kolkata
Gallery Time And Space,Bengaluru
Gallery of Shiva Arts,Chennai
Gallops Designer Mall,Ahmedabad
Galtaji Temple,Jaipur
Galteshwar,Surat
Galteshwar Mahadev Temple,Dakor
Game On,Chennai
Ganagitti Jain Temple,Hampi
Ganakkuchi Satra,Barpeta
Gananath Mandir,Almora
Ganapathiyar Kovil Temple,Kottayam
Ganapathy Temple in Ganapathy Agraharam,Thanjavur
Ganapati Temple,Sangli
Ganapatipule Beach,Ganpatipule
Gandhamadana Parvatha,Ramanathapuram
Gandhamadhana Parvatham,Rameswaram
Gandhamardan Hill Trek,Bargarh
Gandhar Pale Buddhist Caves,Mahad
Gandharv Farm & Resorts,Kolhapur
Gandheswar Temple,Mahasamund
Gandhi Ashram Sewagram,Sevagram
Gandhi Ashram Tiruchengode,Tiruchengode
Gandhi Bagh/Company Garden,Meerut
Gandhi Bhawan,Chandigarh
Gandhi Chowk Shopping Plaza,Dalhousie
Gandhi Chowk Street,Jaisalmer
Gandhi Garden,Ferozpur Jhirka
Gandhi Gate,Amritsar
Gandhi Ghat Near Nit Patna,Patna
Gandhi Gyan Mandir,Wardha
Gandhi Hill,Vijayawada
Gandhi Maidan,Patna
Gandhi Mandapam,Chennai
Gandhi Memorial,Kanyakumari
Gandhi Memorial Museum,Madurai
Gandhi Museum,Valsad
Gandhi Nagar Gruh Town Hall,Vadodara
Gandhi National Memorial,Pune
Gandhi Park,South Andaman Island
Gandhi Prani Udhyan,Gwalior
Gandhi Research Foundation,Jalgaon
Gandhi Sagar Dam,Neemuch
Gandhi Sagar Lake,Nagpur
Gandhi Sagar Sanctuary,Neemuch
Gandhi Samadhi,Adipur
Gandhi Sangrahalaya,Patna
Gandhi Sevagram Ashram,Sevagram
Gandhi Smriti,New Delhi
Gandhi Smriti Memorial,Bhavnagar
Gandhi Smriti Park,Mangaldai
Gandhi Statue,Chennai
Gandhi Udyan Park,Raipur
GandhiBagh Park,Silchar
Gandhiji Ashram Bapu Kuti,Wardha
Gandi Maisamma Temple,Hyderabad
Gandikota Camping,Gandikota
Gandikota Fort,Gandikota
Gandikota Tents,Gandikota
Gandipet Lake,Hyderabad
Ganeriwal Haveli,Jhunjhunu
Ganesh Bagh,Chitrakoot
Ganesh Gogoi Kabita Kanon,Jorhat
Ganesh Gufa,Badrinath
Ganesh Ji Temple,Chennai
Ganesh Karthik Temple,Chennai
Ganesh Mandir Temple,Jhansi
Ganesh Pal,Yellapur
Ganesh Pol Gateway,Jaipur
Ganesh Ratha Temple,Mahabalipuram
Ganesh Temple,Sawai Madhopur
Ganesh Tok View Point,Gangtok
Ganesh and Nandi Statue,Bankura
Ganesha Temple,Pune
Ganeshghule Beach,Ratnagiri
Ganeshpuri,Virar
Ganga Aarti,Varanasi
Ganga Aarti at Haridwar,Haridwar
Ganga Aquarium,Lucknow
Ganga Darpan Interpretation Centre,Varanasi
Ganga Deri,Bhavnagar
Ganga Ghat,Nashik
Ganga Golden Jubilee Museum,Bikaner
Ganga Govrdhan Museum,Kumbhalgarh
Ganga Lake,Itanagar
Ganga Maharani Temple,Bharatpur
Ganga Maiya Temple,Durg
Ganga Mata Temple,Bilimora
Ganga Maya Park,Darjeeling
Ganga Munda Lake,Jagdalpur
Ganga Sagar,Ratlam
Ganga Singh Museum,Bikaner
Ganga-Sacred confluence of river Alaknanda & Bhagirathi RIvers,Devprayag
Gangabal Lake,Sonamarg
Gangadeeswarar Temple,Chennai
Gangadwar,Nashik
Gangaikonda Cholapuram,Thanjavur
Gangamma Devi Temple,Bengaluru
Gangamoola Hill,Chikmagalur
Gangani,Garbeta
Ganganna Sirrasu Waterfalls,Palamaner
Gangapur Dam,Nashik
Gangasagar,Sagar Island
Gangasagar Lake,Raigad
Gangau Dam,Khajuraho
Gangaur Ghat,Udaipur
Gangavaram Beach,Visakhapatnam (Vizag)
Gangegowda Agencies,Bengaluru
Ganges River,Varanasi
Gangeshwar Temple,Diu
Gangotri Glacier,Uttarkashi
Gangotri National Park,Uttarkashi
Gangotri Temple,Gangotri
Gangrel Dam,Dhamtari
Gangtok Ropeway,Gangtok
Ganj Golai,Latur
Ganjanan Maharaj Ashram,Trimbak
Ganji Pahari,Dalhousie
Ganpatipule Bike Rental,Ganpatipule
Ganpatipule Temple,Ganpatipule
Ganta Stambham Clock Tower,Vizianagaram
Gaon Mandir,Nalanda
Gaonkars Nandanvan,Ponda
Garadia Mahadev Temple,Kota
Garakhiadol Temple,Jorhat
Garam Pani Kund,Mandla
Garam Sadak,Dalhousie
Garambi Dam,Raigad
Garamdi Dam,Murud
Garampani Wildlife Sanctuary,Golaghat
Garapantha Digambar Jain Siddhakshetra & Chambhar Leni - Jain Temple,Nashik
Garbarakshambigai Temple,Thirukkarugavur
Garbhaji Falls,Alwar
Garden of Caves,Laitmawsiang
Garden of Char Chinar,Srinagar
Garden of Five Senses,New Delhi
Garden of Fragrance,Chandigarh
Garden of Silence,Chandigarh
Garden of Spiritual Wisdom,Varanasi
Gardens Galleria,Noida
Garga Dam,Bokaro Steel City
Gargoti Mineral Museum,Sinnar
Garh Ali,Jorhat
Garh Ganesh Mandir,Jaipur
Garh Jungle,Durgapur
Garh Mandaran,Hooghly
Garh Palace,Bundi
Garhi Lalit Kala Artist Studio,New Delhi
Garhkundar Fort,Tikamgarh
Garhwal Rifles Regimental War Memorial,Lansdowne
Garhwali Mess,Lansdowne
Gariahat Mall,Kolkata
Gariahat Market,Kolkata
Garib Sthan Mandir Temple,Muzaffarpur
Garibnath Temple,Muzaffarpur
Garjia Devi Temple,Garjiya
Garjiya Devi Temple,Jim Corbett National Park
Garud Govindji Temple,Mathura
Garuda Guha,Kollur
Garuda Mall,Bengaluru
Garuda Temple,Mulbagal
Gass Forest Museum,Coimbatore
Gate of Old Fort,Bishnupur
Gateway of India,Mumbai
Gateway of Ratnagiri,Ratnagiri
Gatha Temple,Pune
Gatolav,Dausa
Gatore Ki Chhatriyan,Jaipur
Gau Ghat,Haridwar
Gaudaragudi Temple,Bagalkot
Gaudiya Mutt,Chennai
Gaula River,Haldwani
Gaumukh Reservoir,Chittaurgarh
Gaumukh Temple,Mount Abu
Gaumukh Waterfalls,Songadh
Gaur Central Mall,Ghaziabad
Gaurav,New Delhi
Gauri Kund,Kedarnath
Gauri Kund and Surya Kund,Gangotri
Gauri Shankar Mandir,Bhiwani
Gauri Shankar Temple,Jammu City
Gauri Somnath Temple,Omkareshwar
Gauri Udiyar,Bageshwar
Gaurisagar Tank And Temples,Sibsagar
Gaurishankar Lake,Bhavnagar
Gaurishankar Mahadev Temple,Haridwar
Gaurishvara Temple,Yelandur
Gautala Autramghat Sanctuary,Kannad
Gautam Buddha Park,Lucknow
Gautam Rishi's Temple,New Tehri
Gavi Forest,Thekkady
